id,project_name,slug,display_name,version,category,framework,short_description,full_description,status
1,My Voice,my-voice-v1,My Voice v1,v1,Workplace Feedback,Streamlit,Workplace experience sharing UI,Early Streamlit interface for associates to record and review workplace life experiences.,active
2,Rural Service Rural Reverse Engineering,rural-service-rural-reverse-engineering-v1,Rural Service Rural Reverse Engineering v1,v1,Reverse Engineering,Streamlit,RSR process and system reverse-engineering tool,Streamlit app for documenting and reconstructing Rural / Rural Super Rural workflows systems and station operating patterns.,active
3,Amazon My Voice,amazon-my-voice-v1,Amazon My Voice v1,v1,Workplace Feedback,Streamlit,Share workplace life experiences,A user interface that allows the user to share their experiences regarding workplace life.,active
4,RSR Plus HR Tools,amazon-rsr-plus-hr-tools,RSR Plus HR Tools — Station Conduct Tool,v1,HR / Conduct,Streamlit,Role-tied station conduct logger,A Streamlit app for logging and reviewing conduct tied to the specific duties of the three station leadership roles at RSR Plus stations: Process Assistant Area Manager and Operations Manager. Each conduct entry is tied to a station an employee and one of that role's specific duties (e.g. Safety standard enforcement for a Process Assistant or Associate coaching counseling and disciplinary actions for an Area Manager) so entries stay traceable to the responsibility they relate to rather than being free-floating notes.,active
5,RSR Site-Level Planning Tool,rsr-site-level-planning-tool,RSR Site-Level Planning Tool,v1,Planning,Streamlit,Site-level operations planning,Streamlit planning workspace for RSR site labor volume and daily operating plans.,active
6,Same-Day Site Planning Tool,same-day-site-planning-tool,Same-Day Site Planning Tool,v1,Planning,Streamlit,Same-day station planning,Same-day site planning tool for staffing volume and execution adjustments during the operating day.,active
7,Amazon Harassment Complaint Compiler,amazon-harassment-complaint-compiler,Amazon Harassment Complaint Compiler,v1,Workplace Complaints,Streamlit,Compile harassment complaint records,Streamlit compiler for organizing dates people locations and narrative details of workplace harassment complaints into a structured packet.,active
8,Amazon Rural Super Rural Plus Stowing,amazon-rural-super-rural-plus-stowing-v1,Amazon Rural Super Rural Plus Stowing v1,v1,Operations,Streamlit,RSR+ stowing workflow tool,Stowing operations tool for Rural Super Rural Plus stations covering bin flow rates and stow-path tracking.,active
9,DSP Amazon,dsp-amazon,DSP Amazon,v1,Delivery Partners,Streamlit,DSP operations workspace,Streamlit app for Delivery Service Partner (DSP) Amazon workflows routes and partner-station coordination.,active
10,Business Oversight Research,business-oversight-research,Business Oversight Research,v1,Research / Oversight,Streamlit,Business oversight research notebook,Research and documentation app for business oversight findings metrics and follow-up questions.,active
11,Navigation App,navigation-app-v1,Navigation App v1,v1,Logistics,Streamlit,Route and navigation helper,Navigation and routing helper for rural / last-mile delivery context.,active
12,Inventory Control System,inventory-control-system,Inventory Control System,v1,Inventory,Streamlit,Inventory tracking and control,Streamlit inventory control system for counts locations discrepancies and reconciliation.,active
13,The Adventures of John Doe,the-adventures-of-john-doe,The Adventures of John Doe,v1,Narrative / Demo,Streamlit,Narrative case-study app,Story-driven Streamlit project using a John Doe persona to walk through workplace scenarios and documented events.,active
14,Business Metrics Tracker,business-metrics-tracker,Business Metrics Tracker,v1,Metrics,Streamlit,Track core business metrics,Dashboard for logging and charting operational and business metrics over time.,active
15,CDOQ,c-d-o-q-v1,C-D-O-Q v1,v1,Quality / Ops,Streamlit,Cost Delivery Operations Quality tracker,Streamlit tracker for Cost / Delivery / Operations / Quality (C-D-O-Q) indicators.,active
16,RSR Reporting Data,rsr-reporting-data-v1,RSR Reporting Data v1,v1,Reporting,Streamlit,RSR reporting dataset viewer,Data layer and viewer for Rural Service Rural reporting extracts and station datasets.,active
17,RSR Plus Stations Reporting Tool,rsr-plus-stations-reporting-tool-v1,RSR Plus Stations Reporting Tool v1,v1,Reporting,Streamlit,RSR+ multi-station reporting,Reporting tool for RSR Plus station performance volume and exception summaries.,active
18,EML to JSON,eml-to-json-v1,.eml-to-.json-v1,v1,Utilities,Streamlit,Convert .eml files to JSON,Utility that parses email .eml files into structured JSON for complaint logs evidence packets and searchable archives.,active
19,RSR Plus Performance Grader,amazon-rsr-plus-performance-grader-v1,Amazon RSR Plus Performance Grader v1,v1,Performance,Streamlit,Grade RSR+ role performance,Grading tool that scores RSR Plus leadership and associate performance against defined duty and metric rubrics.,active
20,Linear Regression,linear-regression-v1,Linear Regression v1,v1,Analytics,Streamlit,Linear regression analysis app,Streamlit app for running linear regression on operational datasets and visualizing predicted vs actual results.,active
21,RSR Plus Associate Tools,amazon-rsr-plus-associate-tools-v1,Amazon RSR Plus Associate Tools v1,v1,Associate Tools,Streamlit,Associate-facing RSR+ toolkit,Toolkit of associate utilities for RSR Plus stations including task aids lookups and self-service logs.,active
22,Workplace Racial Discrimination,workplace-racial-discrimination-v1,Workplace Racial Discrimination v1,v1,Workplace Complaints,Streamlit,Document racial discrimination reports,Structured Streamlit app for recording workplace racial discrimination incidents evidence and follow-up status. Note: original slug spelling was workplace-racial-descirimination-v1.,active
23,Workplace Accountability App,workplace-accountability-app-v1,Workplace Accountability App v1,v1,Accountability,Streamlit,Track workplace accountability items,Accountability tracker for commitments incidents owners due dates and closure status.,active
24,Contradictory Data-Driven Environment,contradictory-data-driven-environment-v1,Contradictory Data-Driven Environment v1,v1,Research / Analytics,Streamlit,Flag conflicting operational data,App for surfacing contradictions between stated metrics policy and observed station data.,active
25,Talk Time Wage Theft Tool,talk-time-wage-theft-tool,Talk-Time Wage Theft Tool,v1,Timekeeping / Labor,Streamlit,Analyze talk-time vs paid time,Tool for comparing talk-time meeting time and unpaid off-clock intervals against scheduled and paid hours.,active
26,RSR Plus Pick Stow Pack,amazon-rsr-plus-pick-stow-pack-v1,Amazon RSR Plus Pick Stow Pack v1,v1,Operations,Streamlit,Pick stow pack operations suite,Combined pick / stow / pack operations app for RSR Plus station path rates and process checks.,active
27,60-Day Interval Amazon Events Reporting,60-day-interval-amazon-events-reporting-tool-v1,60-Day Interval Amazon Events Reporting Tool v1,v1,Reporting,Streamlit,60-day event interval reports,Reporting tool that groups Amazon workplace and station events into rolling 60-day intervals.,active
28,HERO Amazon Rating Tool,helping-engaging-respectful-obsessed-amazon-rating-tool-v1,Helping Engaging Respectful Obsessed Amazon Rating Tool v1,v1,Performance / Culture,Streamlit,HERO leadership rating rubric,Rating tool using Helping Engaging Respectful Obsessed (HERO) criteria to score leadership and workplace interactions.,active
29,Amazon RSR Complaint Tool,amazon-rsr-complaint-tool-v1,Amazon RSR Complaint Tool v1,v1,Workplace Complaints,Streamlit,Log and organize RSR complaints,Complaint intake and case-organization tool for Rural / RSR Plus station issues.,active
30,Amazon Time Keeper,amazon-time-keeper-v1,Amazon Time Keeper v1,v1,Timekeeping / Labor,Streamlit,Track worked vs scheduled time,Timekeeping app for punches breaks talk time and discrepancies between worked and paid hours.,active
31,Thinking Backwards,thinking-backwards-v1,Thinking Backwards v1,v1,Problem Solving,Streamlit,Work-backward problem solver,Working-backward analysis tool for tracing outcomes back to root process and decision points.,active
32,Gas Stations Filter 56003-56001,gas-stations-filter-56003-56001,Gas Stations Filter 56003-56001,v1,Local Utilities,Streamlit,Filter gas stations by ZIP 56003/56001,Location filter for gas stations in ZIP codes 56003 and 56001 (Mankato / North Mankato MN area).,active
33,AI Agent Tools,ai-agent-tools,AI Agent Tools,v1,AI / Automation,Streamlit,AI agent utility suite,Streamlit collection of AI agent helpers prompts and task runners for project research and documentation.,active
34,Flex Delivery App Reverse Engineering,flex-delivery-app-reverse-engineering,Flex Delivery App Reverse Engineering,v1,Reverse Engineering,Streamlit,Amazon Flex delivery app RE notes,Reverse-engineering notebook for Amazon Flex delivery app flows screens and operational logic.,active
35,Scheduling,scheduling,Scheduling,v1,Planning,Streamlit,Shift and labor scheduling,Streamlit scheduling app for shifts coverage and station labor plans.,active
